time,stage,Lot,runnum,recipe,recipe_step,ACTUALROTATIONANGLE,ACTUALSTEPDURATION,ETCHBEAMCURRENT,ETCHGASCHANNEL1READBACK,ETCHPBNGASREADBACK,ETCHSOURCEUSAGE,FIXTURETILTANGLE,FLOWCOOLFLOWRATE,FLOWCOOLPRESSURE,IONGAUGEPRESSURE,TTF_FlowCool Pressure Dropped Below Limit,fault_x,fault_labeling_x,TTF_Flowcool Pressure Too High Check Flowcool Pump,fault_y,fault_labeling_y,TTF_Flowcool leak,fault,fault_labeling
22574512,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.958445432,-0.04853955,0.356221919,-1.244011417,0.022130759,0.560496954,0.61837693,0.023050927,640,0,0,508260,0,0,2451294,0,0
22574516,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959296589,-0.056794697,0.356221919,-1.2440081,0.022130759,0.560496954,0.621599942,0.023050927,636,0,0,508256,0,0,2451290,0,0
22574520,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959864057,-0.056794697,0.356221919,-1.244004783,0.022130759,0.560496954,0.621599942,0.023050927,632,0,0,508252,0,0,2451286,0,0
22574524,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959225659,-0.058298717,0.354293336,-1.244001466,0.022130759,0.569103041,0.621599942,0.023050927,628,0,0,508248,0,0,2451282,0,0
22574530,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959367519,-0.058298717,0.354293336,-1.243998149,0.022130759,0.569103041,0.621599942,0.023050927,622,0,0,508242,0,0,2451276,0,0
22574532,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959509378,-0.058298717,0.352016261,-1.243994833,0.022130759,0.574992852,0.621599942,0.023050927,620,0,0,508240,0,0,2451274,0,0
22574536,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959296589,-0.061544234,0.352016261,-1.243991516,0.022130759,0.574992852,0.621599942,0.023050927,616,0,0,508236,0,0,2451270,0,0
22574540,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.95894194,-0.061544234,0.352016261,-1.243988199,0.022130759,0.574992852,0.621599942,0.023050927,612,0,0,508232,0,0,2451266,0,0
22574544,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.95887101,-0.060051522,0.35744956,-1.243984882,0.022130759,0.570147237,0.621599942,0.023050927,608,0,0,508228,0,0,2451262,0,0
22574548,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959509378,-0.060051522,0.35744956,-1.243981565,0.022130759,0.570147237,0.621599942,0.023050927,604,0,0,508224,0,0,2451258,0,0
22574552,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.95894194,-0.060051522,0.355168525,-1.243978248,0.022130759,0.571068586,0.621599942,0.023050927,600,0,1,508220,0,0,2451254,0,0
22574556,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959509378,-0.063297039,0.355168525,-1.243974931,0.022130759,0.571068586,0.621599942,0.023050927,596,0,1,508216,0,0,2451250,0,0
22574560,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.95887101,-0.063297039,0.355168525,-1.243971615,0.022130759,0.571068586,0.621599942,0.023050927,592,0,1,508212,0,0,2451246,0,0
22574564,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.95880008,-0.060051522,0.358498994,-1.243968298,0.022130759,0.568198753,0.621599942,0.023050927,588,0,1,508208,0,0,2451242,0,0
22574568,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959154729,-0.060051522,0.358498994,-1.243964981,0.022130759,0.568198753,0.621599942,0.023050927,584,0,1,508204,0,0,2451238,0,0
22574572,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.958374502,-0.060051522,0.358498994,-1.243961664,0.022130759,0.569103041,0.621599942,0.023050927,580,0,1,508200,0,0,2451234,0,0
22574578,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959509378,-0.063297039,0.35078862,-1.243958347,0.022130759,0.569103041,0.621599942,0.023050927,574,0,1,508194,0,0,2451228,0,0
22574582,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.959793127,-0.063297039,0.35078862,-1.24395503,0.022130759,0.569103041,0.621599942,0.023050927,570,0,1,508190,0,0,2451224,0,0
22574584,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.95880008,-0.063297039,0.349739186,-1.243951713,0.022130759,0.568198753,0.621599942,0.023050927,568,0,1,508188,0,0,2451222,0,0
22574588,1,9241,11779495,67,39,-0.122463902,0.021044168,-0.95887101,-0.063297039,0.349739186,-1.243948397,0.022130759,0.568198753,0.621599942,0.023050927,564,0,1,508184,0,0,2451218,0,0
